"Genera","sp_id","PaH","PaL","AeH","AeL","VcL","VcaH","SeL","VuL","TeH","VoL"
"Syllophopsis","S.hildebrandti02",1,0.757188083802452,2.06422259088268,1.47951312199453,1.82787577210255,2.9652217459855,1.814716653453,2.75624550706545,2.60760467884072,1.32917671098129
"Syllophopsis","S.hildebrandti02",1,0.810286551375637,2.11527870698364,1.57132061094314,2.00810791510299,3.29596537771437,1.82229750403383,2.68256507650903,2.48801764193697,1.49466401543223
"Syllophopsis","S.fisheri",1,0.911717876878663,2.47199766020247,2.25212127316762,2.45009975736451,3.65507515841797,2.83409271475845,2.73231708434256,3.70632178451872,1.86626782184713
"Syllophopsis","S.fisheri",1,0.88141042477025,2.37429495689016,1.89889354835946,2.32456840620319,3.6889119149636,2.59503202747475,2.56630926796324,3.13057990138597,1.84964995631908
"Syllophopsis","S.fisheri",1,0.900957995875068,2.4778379668359,2.1274978899998,2.39878724703335,3.36301801676723,2.61453502842932,2.9429093707429,3.49273453937315,1.9173162361084
"Syllophopsis","S.fisheri",1,0.836554679514019,2.14059677481448,1.98480376907559,2.30501833295204,3.58249406027494,2.52492564441334,2.92242208805805,3.61305202543043,1.70852858778773
"Syllophopsis","S.fisheri",1,0.897549211299735,2.23818632672476,2.03020093795056,2.29142661509396,3.74160267874351,2.58891608519357,3.26870546267311,3.61792148658685,1.84114048757301
"Syllophopsis","S.fisheri",1,0.793686401657136,1.85338070482677,1.88402382722728,2.2443011028941,2.74778604639481,2.46694967061218,2.3848873226685,2.60883045235508,1.68226298721461
"Syllophopsis","S.MG01",1,0.82350800649146,2.05469416013632,1.94518117896126,2.01934283844391,5.22491819772342,2.23952264457429,2.69799351513403,2.2859548039066,1.2699708100681
"Syllophopsis","S.MG01",1,0.860920340708568,2.10255879959994,2.0810682682515,2.2690802334846,5.02323211561708,2.4579750469433,2.35593098422423,2.09593394760695,1.28505988113516
"Syllophopsis","S.modesta",1,0.802353024552431,2.03317273586418,1.85243595708513,2.02157913466325,4.51113980943311,2.13924616718289,2.55306764685748,2.13484551454304,1.34998129402885
"Syllophopsis","S.modesta",1,0.741420847231117,2.05117830383883,1.80961576904769,2.10871096470964,3.8732694169454,2.09410433859401,2.25881710246731,2.09579950794432,1.35725309526883
"Syllophopsis","S.modesta",1,0.829910438309627,1.87421017407659,1.91529831947797,2.01442679694719,3.77300024908468,2.17317276147258,2.4598676726335,1.89844902340104,1.33656178903745
"Syllophopsis","S.modesta",1,0.878596823219569,2.20193784068603,1.928758701777,2.12936836774265,4.41635667342144,2.31110791406671,2.61039906619419,2.58978077749694,1.49667607958129
"Syllophopsis","S.modesta",1,0.857545620301556,1.95877046119346,1.96148822816676,2.11149036555531,4.14060555749656,2.28215023027636,2.40733769695757,1.95542244997048,1.41350153986447
"Syllophopsis","S.modesta",1,0.829993886406327,1.84874633166431,2.0192346817843,2.10903520729883,3.70444189998642,2.29454341264172,2.15122257925442,2.07553777314314,1.27657185070936
